offense_type,offender_race,victim_race,offender_count,victim_count,city,state,date
0,Simple Assault,Black or African American,Unknown,1,1,Seattle,Washington,2016-04-05
1,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,State Police:,Maryland,2000-04-29
2,Intimidation,White,Black or African American,1,1,Fairfax City,Virginia,1993-01-01
3,Intimidation,Unknown,Black or African American,0,1,Boston,Massachusetts,2003-08-13
4,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Washington,District of Columbia,2017-09-11
5,Intimidation,Unknown,Asian,1,1,Clarion University,Pennsylvania,1994-11-03
6,Aggravated Assault,Black or African American,Unknown,1,1,Minneapolis,Minnesota,2016-11-19
7,Intimidation,White,Black or African American,1,1,Phoenix,Arizona,2017-05-15
8,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Cherry Hill Township,New Jersey,1994-09-06
9,Simple Assault,White,Unknown,2,2,Idaho Falls,Idaho,1995-02-08
10,Aggravated Assault,White,Unknown,2,2,Miami Beach,Florida,2015-02-15
11,Intimidation,White,Black or African American,1,1,Lucas,Ohio,2001-03-23
12,Simple Assault,Black or African American,White,1,1,South Euclid,Ohio,2009-10-31
13,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,El Paso,Texas,2004-01-12
14,Intimidation,Unknown,Black or African American,1,1,State Police:,Pennsylvania,1991-10-09
15,Intimidation,White,Black or African American,1,1,Howard City,Michigan,2002-10-15
16,Simple Assault,White,Unknown,1,1,Oak Harbor,Washington,2016-05-26
17,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Las Vegas Metropolitan Police Department,Nevada,2000-04-10
18,Simple Assault,White,Unknown,1,1,Washington,District of Columbia,2006-08-11
19,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Los Angeles,California,2002-04-19
20,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Aberdeen Township,New Jersey,2004-12-13
21,Simple Assault,White,Black or African American,1,1,New York,New York,2018-06-19
22,Simple Assault,White,Unknown,3,1,Mount Clemens,Michigan,1998-05-07
23,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Chesterfield County Police Department,Virginia,1994-04-24
24,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Parsippany-Troy Hills Township,New Jersey,2008-06-18
25,Simple Assault,White,Black or African American,1,2,Harvard,Illinois,1993-02-20
26,Simple Assault,White,Black or African American,1,1,Lynchburg,Virginia,2003-03-13
27,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Gibbsboro,New Jersey,2010-05-22
28,Simple Assault,Black or African American,White,1,2,Harris,Texas,2005-05-30
29,Simple Assault,Unknown,Multiple,0,1,Philadelphia,Pennsylvania,2018-12-10
30,Intimidation,White,Unknown,1,1,New York,New York,1999-04-26
31,Intimidation,Unknown,Black or African American,0,4,Ferndale,Washington,2000-01-21
32,Aggravated Assault,Black or African American,Unknown,1,2,Boston,Massachusetts,1992-05-25
33,Simple Assault,Black or African American,White,1,1,New York,New York,2013-12-11
34,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,1,1,Virginia Beach,Virginia,2000-09-18
35,Simple Assault,White,Unknown,1,1,Yakima,Washington,1998-06-28
36,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Los Angeles,California,2009-03-07
37,Intimidation,White,Black or African American,1,1,Fort Worth,Texas,1992-04-21
38,Intimidation,White,Unknown,1,1,Princeton,New Jersey,2011-09-17
39,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Los Angeles,California,2013-04-14
40,Intimidation,White,Black or African American,1,1,Finney,Kansas,2006-02-03
41,Intimidation,Unknown,Black or African American,1,1,Seattle,Washington,2016-07-29
42,Destruction/Damage/Vandalism of Property,Unknown,White,0,1,Charlotte-Mecklenburg,North Carolina,2017-08-21
43,Aggravated Assault,White,American Indian or Alaska Native,6,2,Farmington,New Mexico,2004-05-22
44,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Los Angeles,California,2017-09-27
45,Intimidation,Unknown,Unknown,1,1,Los Angeles,California,2004-06-21
46,Simple Assault,Multiple,Black or African American,2,1,Los Angeles,California,1997-01-02
47,Intimidation,White,Black or African American,1,1,North Bergen Township,New Jersey,1992-03-22
48,Destruction/Damage/Vandalism of Property,White,Black or African American,1,1,Springfield,Illinois,2006-01-17
49,Destruction/Damage/Vandalism of Property,Unknown,Unknown,3,2,Gloucester,Massachusetts,2004-03-11
50,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,State College,Pennsylvania,2004-04-13
51,Intimidation,Unknown,Black or African American,1,2,Fraser,Michigan,2012-05-01
52,Destruction/Damage/Vandalism of Property,Black or African American,Unknown,1,1,Manassas,Virginia,2002-06-24
53,Simple Assault,White,Unknown,1,1,Seattle,Washington,2017-07-25
54,Intimidation,Unknown,Unknown,0,1,Bowling Green,Kentucky,2011-04-29
55,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,4,Seabrook,New Hampshire,2008-07-18
56,Simple Assault,Black or African American,White,3,1,Grand Rapids,Michigan,1993-10-02
57,Intimidation,White,Unknown,1,1,Boulder,Colorado,2004-05-12
58,Aggravated Assault,White,Unknown,1,1,Leominster,Massachusetts,1997-09-18
59,Intimidation,Unknown,Unknown,0,1,Contra Costa Community College,California,2002-11-15
60,Simple Assault,White,Black or African American,1,1,Virginia Beach,Virginia,2011-04-06
61,Intimidation,Unknown,Black or African American,0,1,Shoshone,Idaho,2013-07-24
62,Intimidation,White,Unknown,1,1,Parsippany-Troy Hills Township,New Jersey,2013-10-16
63,Intimidation,White,Black or African American,1,1,Somerville,New Jersey,1994-08-13
64,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Holmdel Township,New Jersey,1995-01-17
65,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Massachusetts Institute of Technology,Massachusetts,1999-02-08
66,Intimidation,Unknown,Black or African American,0,1,Cincinnati,Ohio,1997-02-26
67,Simple Assault,White,Black or African American,2,1,New York,New York,1998-06-26
68,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,New York,New York,2005-07-18
69,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,New York,New York,2003-05-29
70,Intimidation,White,Unknown,1,2,North Brunswick Township,New Jersey,2002-08-17
71,Intimidation,Unknown,Unknown,0,1,State Police:,Maine,2005-11-08
72,Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Lakewood Township,New Jersey,1995-10-31
73,Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Montgomery County Police Department,Maryland,2009-09-26
74,Destruction/Damage/Vandalism of Property,White,Black or African American,2,1,Los Angeles,California,1999-01-31
75,Destruction/Damage/Vandalism of Property,White,Black or African American,2,1,Des Moines,Iowa,1997-06-01
76,Aggravated Assault,White,Unknown,4,1,Carlsbad,California,2000-12-02
77,Intimidation,Unknown,Black or African American,0,1,Los Angeles,California,2000-12-21
78,Destruction/Damage/Vandalism of Property,Unknown,Unknown,1,1,Philadelphia,Pennsylvania,1993-07-08
79,Aggravated Assault,White,Black or African American,3,3,Poway,California,2002-03-15
