offense_type,offender_race,victim_race,offender_count,victim_count,city,state,date
Simple Assault,Black or African American,Unknown,1,1,Seattle,Washington,2016-04-05
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,State Police:,Maryland,2000-04-29
Intimidation,White,Black or African American,1,1,Fairfax City,Virginia,1993-01-01
Intimidation,Unknown,Black or African American,0,1,Boston,Massachusetts,2003-08-13
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Washington,District of Columbia,2017-09-11
Intimidation,Unknown,Asian,1,1,Clarion University,Pennsylvania,1994-11-03
Aggravated Assault,Black or African American,Unknown,1,1,Minneapolis,Minnesota,2016-11-19
Intimidation,White,Black or African American,1,1,Phoenix,Arizona,2017-05-15
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Cherry Hill Township,New Jersey,1994-09-06
Simple Assault,White,Unknown,2,2,Idaho Falls,Idaho,1995-02-08
Aggravated Assault,White,Unknown,2,2,Miami Beach,Florida,2015-02-15
Intimidation,White,Black or African American,1,1,Lucas,Ohio,2001-03-23
Simple Assault,Black or African American,White,1,1,South Euclid,Ohio,2009-10-31
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,El Paso,Texas,2004-01-12
Intimidation,Unknown,Black or African American,1,1,State Police:,Pennsylvania,1991-10-09
Intimidation,White,Black or African American,1,1,Howard City,Michigan,2002-10-15
Simple Assault,White,Unknown,1,1,Oak Harbor,Washington,2016-05-26
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Las Vegas Metropolitan Police Department,Nevada,2000-04-10
Simple Assault,White,Unknown,1,1,Washington,District of Columbia,2006-08-11
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Los Angeles,California,2002-04-19
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Aberdeen Township,New Jersey,2004-12-13
Simple Assault,White,Black or African American,1,1,New York,New York,2018-06-19
Simple Assault,White,Unknown,3,1,Mount Clemens,Michigan,1998-05-07
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Chesterfield County Police Department,Virginia,1994-04-24
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Parsippany-Troy Hills Township,New Jersey,2008-06-18
Simple Assault,White,Black or African American,1,2,Harvard,Illinois,1993-02-20
Simple Assault,White,Black or African American,1,1,Lynchburg,Virginia,2003-03-13
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Gibbsboro,New Jersey,2010-05-22
Simple Assault,Black or African American,White,1,2,Harris,Texas,2005-05-30
Simple Assault,Unknown,Multiple,0,1,Philadelphia,Pennsylvania,2018-12-10
Intimidation,White,Unknown,1,1,New York,New York,1999-04-26
Intimidation,Unknown,Black or African American,0,4,Ferndale,Washington,2000-01-21
Aggravated Assault,Black or African American,Unknown,1,2,Boston,Massachusetts,1992-05-25
Simple Assault,Black or African American,White,1,1,New York,New York,2013-12-11
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,1,1,Virginia Beach,Virginia,2000-09-18
Simple Assault,White,Unknown,1,1,Yakima,Washington,1998-06-28
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Los Angeles,California,2009-03-07
Intimidation,White,Black or African American,1,1,Fort Worth,Texas,1992-04-21
Intimidation,White,Unknown,1,1,Princeton,New Jersey,2011-09-17
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Los Angeles,California,2013-04-14
Intimidation,White,Black or African American,1,1,Finney,Kansas,2006-02-03
Intimidation,Unknown,Black or African American,1,1,Seattle,Washington,2016-07-29
Destruction/Damage/Vandalism of Property,Unknown,White,0,1,Charlotte-Mecklenburg,North Carolina,2017-08-21
Aggravated Assault,White,American Indian or Alaska Native,6,2,Farmington,New Mexico,2004-05-22
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Los Angeles,California,2017-09-27
Intimidation,Unknown,Unknown,1,1,Los Angeles,California,2004-06-21
Simple Assault,Multiple,Black or African American,2,1,Los Angeles,California,1997-01-02
Intimidation,White,Black or African American,1,1,North Bergen Township,New Jersey,1992-03-22
Destruction/Damage/Vandalism of Property,White,Black or African American,1,1,Springfield,Illinois,2006-01-17
Destruction/Damage/Vandalism of Property,Unknown,Unknown,3,2,Gloucester,Massachusetts,2004-03-11
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,State College,Pennsylvania,2004-04-13
Intimidation,Unknown,Black or African American,1,2,Fraser,Michigan,2012-05-01
Destruction/Damage/Vandalism of Property,Black or African American,Unknown,1,1,Manassas,Virginia,2002-06-24
Simple Assault,White,Unknown,1,1,Seattle,Washington,2017-07-25
Intimidation,Unknown,Unknown,0,1,Bowling Green,Kentucky,2011-04-29
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,4,Seabrook,New Hampshire,2008-07-18
Simple Assault,Black or African American,White,3,1,Grand Rapids,Michigan,1993-10-02
Intimidation,White,Unknown,1,1,Boulder,Colorado,2004-05-12
Aggravated Assault,White,Unknown,1,1,Leominster,Massachusetts,1997-09-18
Intimidation,Unknown,Unknown,0,1,Contra Costa Community College,California,2002-11-15
Simple Assault,White,Black or African American,1,1,Virginia Beach,Virginia,2011-04-06
Intimidation,Unknown,Black or African American,0,1,Shoshone,Idaho,2013-07-24
Intimidation,White,Unknown,1,1,Parsippany-Troy Hills Township,New Jersey,2013-10-16
Intimidation,White,Black or African American,1,1,Somerville,New Jersey,1994-08-13
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Holmdel Township,New Jersey,1995-01-17
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Massachusetts Institute of Technology,Massachusetts,1999-02-08
Intimidation,Unknown,Black or African American,0,1,Cincinnati,Ohio,1997-02-26
Simple Assault,White,Black or African American,2,1,New York,New York,1998-06-26
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,New York,New York,2005-07-18
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,New York,New York,2003-05-29
Intimidation,White,Unknown,1,2,North Brunswick Township,New Jersey,2002-08-17
Intimidation,Unknown,Unknown,0,1,State Police:,Maine,2005-11-08
Destruction/Damage/Vandalism of Property,Unknown,Unknown,0,1,Lakewood Township,New Jersey,1995-10-31
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Montgomery County Police Department,Maryland,2009-09-26
Destruction/Damage/Vandalism of Property,White,Black or African American,2,1,Los Angeles,California,1999-01-31
Destruction/Damage/Vandalism of Property,White,Black or African American,2,1,Des Moines,Iowa,1997-06-01
Aggravated Assault,White,Unknown,4,1,Carlsbad,California,2000-12-02
Intimidation,Unknown,Black or African American,0,1,Los Angeles,California,2000-12-21
Destruction/Damage/Vandalism of Property,Unknown,Unknown,1,1,Philadelphia,Pennsylvania,1993-07-08
Aggravated Assault,White,Black or African American,3,3,Poway,California,2002-03-15
Intimidation,White,Black or African American,1,1,New York,New York,2009-08-31
Intimidation,Unknown,Unknown,0,1,Palm Springs,California,2003-04-16
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Houston,Texas,2002-05-15
Destruction/Damage/Vandalism of Property,Unknown,Multiple,0,1,Manalapan Township,New Jersey,2004-08-07
Intimidation,Unknown,Black or African American,0,1,Los Angeles,California,1996-01-22
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Worcester,Massachusetts,2016-10-04
Intimidation,Unknown,Unknown,0,1,Corona,California,2002-08-21
Simple Assault,White,Black or African American,1,1,Columbus,Ohio,2017-07-26
Simple Assault,White,Black or African American,1,2,Belton,Missouri,1998-04-22
Aggravated Assault,Black or African American,Unknown,1,1,Los Angeles,California,2015-05-03
Simple Assault,Multiple,Black or African American,3,1,Tonawanda,New York,2010-06-18
Intimidation,White,Black or African American,1,1,Wichita,Kansas,1999-11-06
Destruction/Damage/Vandalism of Property,Unknown,Black or African American,0,1,Montgomery County Police Department,Maryland,1994-01-06
Destruction/Damage/Vandalism of Property,White,Unknown,2,1,Claremore,Oklahoma,2003-09-11
Intimidation,Unknown,White,1,1,Grand Junction,Colorado,2006-03-20
Destruction/Damage/Vandalism of Property,Black or African American,Unknown,1,1,New York,New York,2013-06-24
Intimidation,White,Unknown,2,2,Clarkston,Washington,1996-09-11
Simple Assault,White,Black or African American,2,1,Staunton,Virginia,1991-08-28
Destruction/Damage/Vandalism of Property,White,Asian,0,1,St. Paul,Minnesota,1995-10-29
Simple Assault,Multiple,White,3,1,New York,New York,2003-10-12
Intimidation,Unknown,Unknown,0,1,Phoenix,Arizona,2006-12-26
Intimidation,Unknown,Multiple,0,1,Dover,New Jersey,2018-09-25
